,A,B,C,D1,D2,E,F1,F2,G1,G2,G3,H1,H2,H3,I1,I2,I3,I4,I5,I6,I7,J1,J2,J3,K,L1,L2
A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,1,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,,,,,
C,1,1,,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,1,,
D1,1,1,1,,,1,1,,,,,,,,1,1,1,,,,,1,,,1,,
D2,1,1,1,,,1,,1,,,,,,,,,,1,1,1,1,,1,1,1,,
E,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
F1,1,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,
F2,1,1,1,,1,,,,,,,,,,,,,1,1,1,1,,,,,,
G1,1,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,
G2,1,,,,,,,,,,,,,,,,,1,1,,,,1,,,,
G3,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,
H1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,
H2,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,
H3,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,
I1,1,1,1,1,,,1,,1,,,,,,,,,,,,,1,,,1,1,
I2,1,1,1,1,,,1,,1,,,,,,,,,,,,,1,,,1,1,
I3,1,1,1,1,,,1,,1,,,,,,,,,,,,,1,,,1,1,
I4,1,1,1,,1,,,1,,1,,,,,,,,,,,,,1,,1,,1
I5,1,1,1,,1,,,1,,1,,,,,,,,,,,,,1,,1,,1
I6,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,1,1,,1
I7,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,1,1,,1
J1,1,,1,,,,,,1,,,1,,,1,1,1,,,,,,,,1,1,
J2,1,,1,,,,,,,1,,,1,,,,,1,1,,,,,,1,,1
J3,1,,1,,,,,,,,1,,,1,,,,,,1,1,,,,1,,1
K,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
L1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,
L2,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,
